"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = C1, MOSI = C4, MISO = C3, CS = C2)"
Frame,Mark,Start Time in s,Source,Length,Data,State
1,,-1.5000128e-3,MOSI,3,0x440000,OK
2,,-1.5000128e-3,MISO,3,0x004A43,OK
3,,-1.4846720e-3,MOSI,3,0x620000,OK
4,,-1.4846720e-3,MISO,3,0x004A43,OK
5,,-1.4692736e-3,MOSI,3,0x680000,OK
6,,-1.4692736e-3,MISO,3,0x004A43,OK
7,,-1.4538048e-3,MOSI,5,0x3020000000,OK
8,,-1.4538048e-3,MISO,5,0x004A4342EF,OK
9,,-1.4273856e-3,MOSI,5,0xB020340320,OK
10,,-1.4273856e-3,MISO,5,0x004A434200,OK
11,,-1.4020160e-3,MOSI,5,0xB0204801E0,OK
12,,-1.4020160e-3,MISO,5,0x004A434200,OK
13,,-1.3766144e-3,MOSI,5,0x83020203A0,OK
14,,-1.3766144e-3,MISO,5,0x004A434200,OK
15,,-1.3512320e-3,MOSI,5,0xB020380000,OK
16,,-1.3512320e-3,MISO,5,0x004A434200,OK
17,,-1.3258624e-3,MOSI,5,0x8302030030,OK
18,,-1.3258624e-3,MISO,5,0x004A434200,OK
19,,-1.3004864e-3,MOSI,5,0xB020260058,OK
20,,-1.3004864e-3,MISO,5,0x004A434200,OK
21,,-1.2751232e-3,MOSI,5,0xB02040020D,OK
22,,-1.2751232e-3,MISO,5,0x004A434200,OK
23,,-1.2497344e-3,MOSI,5,0x8302040000,OK
24,,-1.2497344e-3,MISO,5,0x004A434200,OK
25,,-1.2243328e-3,MOSI,5,0xB020500003,OK
26,,-1.2243328e-3,MISO,5,0x004A434200,OK
27,,-1.1985024e-3,MOSI,5,0xB020440020,OK
28,,-1.1985024e-3,MISO,5,0x004A434200,OK
29,,-1.1730752e-3,MOSI,4,0xB0206801,OK
30,,-1.1730752e-3,MISO,4,0x004A4342,OK
31,,-1.1526848e-3,MOSI,4,0xB0206001,OK
32,,-1.1526848e-3,MISO,4,0x004A4342,OK
33,,-1.1322688e-3,MOSI,4,0xB0206400,OK
34,,-1.1322688e-3,MISO,4,0x004A4342,OK
35,,-1.1118656e-3,MOSI,4,0x83020600,OK
36,,-1.1118656e-3,MISO,4,0x004A4342,OK
37,,-1.0914688e-3,MOSI,7,0xB0000002AD0000,OK
38,,-1.0914688e-3,MISO,7,0x004A4342000000,OK
39,,-1.0561792e-3,MOSI,7,0xB0000426000007,OK
40,,-1.0561792e-3,MISO,7,0x004A4342000000,OK
41,,-1.0207936e-3,MOSI,7,0xB0000800000000,OK
42,,-1.0207936e-3,MISO,7,0x004A4342000000,OK
43,,-984.4736000e-6,MOSI,4,0xB0205402,OK
44,,-984.4736000e-6,MISO,4,0x004A4342,OK
45,,-964.0640000e-6,MOSI,4,0xB02090FF,OK
46,,-964.0640000e-6,MISO,4,0x004A4342,OK
47,,-943.6352000e-6,MOSI,4,0xB02094FF,OK
48,,-943.6352000e-6,MISO,4,0x004A4342,OK
49,,-923.2768000e-6,MOSI,4,0xB0207002,OK
50,,-923.2768000e-6,MISO,4,0x004A4342,OK
